序號,股票代號,股票名稱,股數,權重(%)
1,2330,台積電,336000,8.17%
2,2454,聯發科,133000,6.51%
3,2383,台光電子,98000,4.69%
4,6223,旺矽,77000,4.14%
5,1303,南亞,1629000,3.81%
6,3443,創意電子,50000,3.72%
7,3017,奇鋐,105000,3.51%
8,2059,川湖,28000,3.50%
9,2408,南亞科,665000,3.35%
10,3037,欣興,305000,3.04%
11,5274,信驊科技,15600,3.02%
12,6274,台燿,183000,2.57%
13,2345,智邦,138000,2.48%
14,6669,緯穎,109191,2.29%
15,3665,貿聯-KY,99000,2.23%
16,3189,景碩科技,266000,2.15%
17,2344,華邦電子,1260000,2.14%
18,2368,金像電子,200000,2.04%
19,2308,台達電子,108000,1.98%
20,8996,高力,134000,1.97%
21,2455,全新,348000,1.95%
22,8046,南電,181000,1.88%
23,2303,聯電,1197000,1.84%
24,3231,緯創,1003000,1.83%
25,3008,大立光電,29000,1.81%
26,6515,穎崴,32000,1.81%
27,4958,臻鼎-KY,388000,1.78%
28,6805,富世達,72000,1.70%
29,3264,欣銓,559000,1.55%
30,3081,聯亞光電,46000,1.29%
31,3653,健策,22000,1.25%
32,6139,亞翔工程,165000,1.16%
33,2327,國巨*,163000,0.89%
34,6147,頎邦,378000,0.83%
35,2337,旺宏,637000,0.75%
36,5289,宜鼎國際,52872,0.67%
37,8210,勤誠興業,75000,0.66%
38,3036,文曄,312000,0.63%
39,6510,精測,18000,0.61%
40,3131,弘塑科技,24000,0.58%
41,8358,金居開發,121000,0.58%
42,8299,群聯電子,24000,0.50%
43,6239,力成,165000,0.47%
44,3044,健鼎科技,90000,0.46%
45,3702,大聯大,359000,0.40%
46,2347,聯強,448000,0.39%
47,2449,京元電子,134000,0.39%
48,6415,矽力*-KY,93000,0.39%
49,2313,華通,165000,0.36%
50,3042,晶技,196000,0.35%
51,2885,元大金,105360,0.07%
